Col1,ID,Date,Produit,Utilisateur,Texte
0,408,Tue Jun 02 03:15:54 UTC 2009,time warner,yourboysdot,F*ck Time Warner Cable!!! You f*cking suck balls!!! I have a $700 HD tv &amp; my damn HD channels hardly ever come in. Bullshit!!
0,411,Tue Jun 02 03:16:37 UTC 2009,time warner,ernestalfonso,Fuck no internet damn time warner!
2,419,Tue Jun 02 03:24:43 UTC 2009,china,HYPHYROCKSTAR,"Rocawear Heads to China, Building 300 Stores  -"
2,421,Tue Jun 02 03:24:57 UTC 2009,china,myfoxdc,myfoxdc Barrie Students Back from Trip to China: A Silver Spring high school's class trip to China has en..
2,422,Tue Jun 02 03:25:01 UTC 2009,china,drlombardo,"Three China aerospace giants develop Tianjin Binhai  New Area,  22.9 B yuan invested"
2,423,Tue Jun 02 03:27:27 UTC 2009,gm,sinostream,GM CEO: China will continue to be key partner
2,430,Tue Jun 02 03:33:30 UTC 2009,dentist,cmonaussiecmon,Pet Dentist
2,435,Tue Jun 02 04:29:16 UTC 2009,baseball,SimpleManJess,NCAA Baseball Super Regional - Rams Club
2,436,Tue Jun 02 04:29:26 UTC 2009,baseball,H3LLGWAR,just started playing Major League Baseball 2K9.
2,437,Tue Jun 02 04:29:30 UTC 2009,baseball,LouisvilleGrads,Cardinals baseball advance to Super Regionals. Face CS-Fullerton Friday.
2,438,Tue Jun 02 04:39:24 UTC 2009,sony,SwainFamily,Sony coupon code.. Expires soon..
2,439,Tue Jun 02 04:39:49 UTC 2009,safeway,neeeelia,waiting in line at safeway.
2,442,Tue Jun 02 04:41:07 UTC 2009,safeway,ronjon,"I have three words for you: ""Safeway dot com"""
2,444,Tue Jun 02 04:41:36 UTC 2009,safeway,SharkKMV,Bout to hit safeway I gotta eat
2,445,Tue Jun 02 04:41:48 UTC 2009,safeway,bosZmom,Jake's going to safeway!
2,446,Tue Jun 02 04:41:58 UTC 2009,safeway,penlynwilson,Found a safeway. Picking up a few staples.
2,447,Tue Jun 02 04:42:28 UTC 2009,safeway,mobileadgirl,Safeway Super-marketing via mobile coupons
0,449,Tue Jun 02 04:42:46 UTC 2009,safeway,BreezB,"At safeway on elkhorn, they move like they're dead!"
2,451,Tue Jun 02 06:53:03 UTC 2009,eating,nonstopdiets,Your Normal Weight (and How to Get There) ? Normal Eating Blog
2,456,Tue Jun 02 06:53:27 UTC 2009,eating,hanaho,eating sashimi
2,458,Tue Jun 02 06:54:16 UTC 2009,eating,aaindefenzo,eating cake
0,532,Thu Jun 04 16:52:36 UTC 2009,nike,MrGQ,Found NOTHING at Nike Factory :/ Off to Banana Republic Outlet!
2,556,Sun Jun 07 01:12:50 UTC 2009,jquery,imgsearch,Launched!
4,557,Sun Jun 07 01:13:52 UTC 2009,jquery,teagone,I finally got around to using jquery to make my bio collapse. Yay for slide animations.
2,561,Sun Jun 07 01:14:42 UTC 2009,jquery,vmkobs,jQuery Cheat Sheet
4,563,Sun Jun 07 03:27:57 UTC 2009,warren buffet,adthomas3,"right!!! LOL we'll get there!! I have high expectations, Warren Buffet style."
2,568,Sun Jun 07 17:42:56 UTC 2009,notre dame school,MY_NBA_PLAYOFFS,All-Star Basketball Classic Tuesday Features Top Talent: Chattanooga's Notre Dame High School will play host..
0,571,Sun Jun 07 21:47:01 UTC 2009,time warner,davepurcell,Time Warner Road Runner customer support here absolutely blows. I hate not having other high-speed net options. I'm ready to go nuclear.
0,573,Sun Jun 07 21:47:33 UTC 2009,time warner,acomicbookgirl,we tried but Time Warner wasn't being nice so we recorded today. :)
0,575,Sun Jun 07 21:47:50 UTC 2009,time warner,jpaje11,"wth..i have never seen a line this loooong at time warner before, ugh."
2,577,Mon Jun 08 00:01:29 UTC 2009,federer,jworthington,Man accosts Roger Federer during French Open
0,578,Mon Jun 08 01:58:49 UTC 2009,"""naive bayes""",R0B3rt2,Naive Bayes using EM for Text Classification. Really Frustrating...
0,588,Mon Jun 08 06:55:01 UTC 2009,car warranty call,painhatelove,"If you're being harassed by calls about your car warranty, changing your number won't fix that. They call every number. -bags"
0,589,Mon Jun 08 06:55:36 UTC 2009,car warranty call,russdavisdotcom,Just blocked United Blood Services using Google Voice. They call more than those Car Warranty guys.
0,595,Mon Jun 08 19:59:23 UTC 2009,at&t,mikeyil,OH SNAP YOU WORK AT AT&amp;T DON'T YOU
2,603,Mon Jun 08 20:46:01 UTC 2009,wave sandbox,girgely,Google Wave Developer Sandbox Account Request
2,626,Wed Jun 10 05:24:16 UTC 2009,google,drylight,have google profiles stopped showing up in searches? cant see them anymore
4,627,Wed Jun 10 05:24:26 UTC 2009,google,ManiKarthik,I love Google Translator too ! :D Good day mate !
4,1002,Mon May 11 03:17:54 UTC 2009,kindle2,jhall515,reading on my new Kindle2!
2,1006,Mon May 11 03:27:20 UTC 2009,twitter,gandhirama,Any twitter to aprs apps yet?
2,1007,Mon May 11 03:27:58 UTC 2009,twitter,delpop,45 Pros You Should Be Following on Twitter -
4,1009,Mon May 11 03:29:38 UTC 2009,obama,motsandco,"' Barack Obama shows his funny side "" &gt;&gt;  !! Great speech.."
4,1010,Mon May 11 03:29:41 UTC 2009,obama,mickou,"I like this guy : ' Barack Obama shows his funny side "" &gt;&gt;  !!"
4,1012,Mon May 11 03:33:05 UTC 2009,obama,failness,"Reading  ""Bill Clinton Fail - Obama Win?"""
4,1013,Mon May 11 03:33:43 UTC 2009,obama,kledy,Obama More Popular Than U.S. Among Arabs: Survey: President Barack Obama's popularity in leading Arab countries ..
4,1019,Mon May 11 05:21:25 UTC 2009,lebron,undefeated310,Watching Lebron highlights. Damn that niggas good
4,1025,Mon May 11 05:52:44 UTC 2009,world cup,jsincere150,"World Cup 2010 Access?? Damn, that's a good look!"
2,1031,Mon May 11 19:49:06 UTC 2009,fred wilson,DoAndroidsDream,Share: Disruption...Fred Wilson's slides for his talk at Google HQ
0,2010,Thu May 14 02:58:11 UTC 2009,"""booz allen""",Moc5085,I have to go to Booz Allen Hamilton for a 2hr meeting :(  But then i get to go home :)
2,2014,Thu May 14 05:25:08 UTC 2009,40d,ha_nobita,ok.. do nothing.. just thinking about 40D
4,2080,Sat May 16 16:18:47 UTC 2009,google,BillVick,Good video from Google on using search options.
0,2084,Sat May 16 22:42:40 UTC 2009,itchy,Timl9068,itchy back!! dont ya hate it!
4,2085,Sat May 16 23:48:10 UTC 2009,stanford,PassionModel,Stanford Charity Fashion Show a top draw
4,2093,Sun May 17 15:04:50 UTC 2009,Danny Gokey,TheDALiSiA,SOOO DISSAPOiNTED THEY SENT DANNY GOKEY HOME... YOU STiLL ROCK ...DANNY ... MY HOMETOWN HERO !! YEAH MiLROCKEE!!
4,2094,Sun May 17 15:04:55 UTC 2009,Danny Gokey,fashion_retweet,"'American Idol' fashion: Adam Lambert tones down, Danny Gokey cute ..."
4,2095,Sun May 17 15:05:07 UTC 2009,Danny Gokey,angelkim17,I love you DANNY GOKEY!! :)
2,2096,Sun May 17 15:10:58 UTC 2009,gm,download11,:   GM OnStar now instantly sends accident location coordinates to 911 | GPS Obsessed
0,2097,Sun May 17 17:27:54 UTC 2009,sleep,nichole17,so tired. i didn't sleep well at all last night.
0,2098,Sun May 17 17:29:05 UTC 2009,san francisco,xstaylor,Boarding plane for San Francisco in 1 hour; 6 hr flight. Blech.
0,2099,Sun May 17 17:29:41 UTC 2009,san francisco,miwahh,bonjour San Francisco. My back hurts from last night..
2,2100,Sun May 17 17:30:03 UTC 2009,san francisco,bKnapp,"breakers. in San Francisco, CA"
2,2101,Sun May 17 17:30:25 UTC 2009,san francisco,rayceja,Heading to San Francisco
0,2103,Sun May 17 17:31:44 UTC 2009,aig,kaaslaw,"F*** up big, or go home - AIG"
4,2105,Sun May 17 17:35:23 UTC 2009,star trek,qrboy85,"I can't wait, going to see star trek tonight!!"
4,2107,Mon May 18 01:13:21 UTC 2009,Malcolm Gladwell,GoodPhoenix,am loving new malcolm gladwell book - outliers
4,2111,Mon May 18 01:15:31 UTC 2009,Malcolm Gladwell,ripplemdk,:   Great article by Malcolm Gladwell.
4,2112,Mon May 18 01:16:10 UTC 2009,Malcolm Gladwell,drewlew34,I seriously underestimated Malcolm Gladwell.  I want to meet this dude.
0,2114,Mon May 18 01:22:40 UTC 2009,comcast,stormygirl223,Comcast sucks.
0,2116,Mon May 18 01:23:30 UTC 2009,comcast,motkeps,did comcast fail again??
2,2120,Mon May 18 03:11:50 UTC 2009,"""twitter api""",trivektor,testing Twitter API
2,2122,Mon May 18 03:12:23 UTC 2009,"""twitter api""",Hot_Tweets,Testing Twitter API. Remote Update
4,2140,Wed May 20 02:38:17 UTC 2009,nike,Chet_Lemon,New nike muppet commercials are pretty cute. Why do we live together again?
2,2141,Wed May 20 02:38:28 UTC 2009,nike,sneakerfiles,New blog post: Nike Zoom LeBron Soldier 3 (III) - White / Black - Teal
2,2142,Wed May 20 02:38:47 UTC 2009,nike,nikeblog,New blog post: Nike Trainer 1
0,2143,Wed May 20 02:39:22 UTC 2009,nike,laurenornot,oh those are awesome! i so wish they weren't owned by nike :(
4,2160,Sun May 24 16:18:46 UTC 2009,50d,GrfxGuru,"hey bud :) np I do so love my 50D, although I'd love a 5D mkII more"
4,2162,Sun May 24 16:19:00 UTC 2009,50d,trevorcgibson,Just picked up my new Canon 50D...it's beautiful!!  Prepare for some seriously awesome photography!
4,2163,Sun May 24 16:19:03 UTC 2009,50d,ashpeckham,Just got my new toy. Canon 50D. Love love love it!
4,2164,Sun May 24 20:48:13 UTC 2009,lambda calculus,davidivins,Learning about lambda calculus :)
4,2166,Sun May 24 20:50:19 UTC 2009,east palo alto,nfarzan,I'm moving to East Palo Alto!
4,2171,Mon May 25 17:14:58 UTC 2009,stanford,tylerlin,@ atebits I just finished watching your Stanford iPhone Class session. I really appreciate it. You Rock!
4,2175,Mon May 25 17:16:52 UTC 2009,lakers,JuanGir,LAKERS tonight let's go!!!!
0,2179,Mon May 25 17:19:30 UTC 2009,north korea,Mvsic,Listening to Obama... Friggin North Korea...
4,2184,Mon May 25 17:25:54 UTC 2009,insects,BecCrew,Prettiest insects EVER - Pink Katydids:
4,2188,Mon May 25 17:29:11 UTC 2009,mcdonalds,MamiYessi,AHH YES LOL IMA TELL MY HUBBY TO GO GET ME SUM MCDONALDS =]
4,2190,Mon May 25 17:29:46 UTC 2009,mcdonalds,Yuleineeee,Stopped to have lunch at McDonalds. Chicken Nuggetssss! :) yummmmmy.
4,2193,Mon May 25 17:31:52 UTC 2009,exam,xKimmelie,my exam went good. : your prayers worked (:
0,2197,Mon May 25 17:35:43 UTC 2009,cheney,joahs,obviously not siding with Cheney here:
4,2202,Tue May 26 22:39:46 UTC 2009,mashable,paulobsf,Absolutely hilarious!!! from :
4,2203,Tue May 26 22:40:41 UTC 2009,mashable,christinerose,I never did thank you for including me in your Top 100 Twitter Authors! You Rock! (&amp; I New Wave :-D)
2,2204,Wed May 27 00:34:45 UTC 2009,jquery book,cfbloggers,Learning jQuery 1.3 Book Review -
4,2205,Wed May 27 00:37:30 UTC 2009,jquery book,pdelsignore,: Awesome JQuery reference book for Coda!
4,2206,Wed May 27 00:38:44 UTC 2009,goodby silverstein,bskatz,I've been sending e-mails like crazy today to my contacts...does anyone have a contact at Goodby SIlverstein...I'd love to speak to them
2,2207,Wed May 27 00:39:05 UTC 2009,goodby silverstein,sc0ttman,Adobe CS4 commercial by Goodby Silverstein:
4,2208,Wed May 27 00:39:17 UTC 2009,goodby silverstein,designplay,"Goodby, Silverstein's new site...  I enjoy it."
4,2224,Wed May 27 23:56:53 UTC 2009,googleio,jackdaniels08,- Yay! Happy place! Place place!  I love Google!
4,2295,Sun May 31 06:51:32 UTC 2009,viral marketing,joshgammon,"Awesome viral marketing for ""Funny People"""
0,2370,Tue Jun 02 03:02:00 UTC 2009,gm,tradecruz,$GM good riddance.  sad though.
0,2371,Tue Jun 02 03:02:34 UTC 2009,gm,ZendoDeb,"I Will NEVER Buy a Government Motors Vehicle: Until just recently, I drove GM cars. Since 1988, when I bought a .."
0,2377,Tue Jun 02 03:06:40 UTC 2009,gm,ktsophie,sad day...bankrupt GM
2,2380,Tue Jun 02 03:14:32 UTC 2009,time warner,flywire,"Time Warner CEO hints at online fees for magazines      (AP) - Read from Mountain View,United States. Views 16209"
0,2385,Tue Jun 02 03:16:42 UTC 2009,time warner,dcwhip,could time-warner cable suck more?  NO.
0,2386,Tue Jun 02 03:17:03 UTC 2009,time warner,JustGLB,Pissed at Time Warner for causin me to have slow internet problems
0,2387,Tue Jun 02 03:18:04 UTC 2009,time warner,chaneykyoto,"Ummm, having some Time Warner problems?"
0,2388,Tue Jun 02 03:18:49 UTC 2009,time warner,ldmullen,You guys see this?  Why does Time Warner have to suck so much ass?  Really wish I could get U-Verse at my apartment.
0,2392,Tue Jun 02 03:24:00 UTC 2009,time warner,matsonj,Time Warner = epic fail
2,2393,Tue Jun 02 03:24:45 UTC 2009,china,YildirimNews,Lawson to head Newedge Hong Kong
2,2394,Tue Jun 02 03:24:59 UTC 2009,china,zedomax,Weird Piano Guitar House in China!
2,2395,Tue Jun 02 03:27:19 UTC 2009,gm,theprovince,Send us your GM/Chevy photos
0,2397,Tue Jun 02 03:27:52 UTC 2009,gm,ram_zone,"GM files Bankruptcy, not a good sign..."
4,2398,Tue Jun 02 03:28:41 UTC 2009,yankees,irishyanks,yankees won mets lost. its a good day.
2,2405,Tue Jun 02 03:34:50 UTC 2009,dentist,jettellis,Check this video out -- David After Dentist
2,2406,Tue Jun 02 03:35:05 UTC 2009,dentist,AdiOpERsOcoM,First dentist appointment [in years] on Wednesday possibly.
2,2408,Tue Jun 02 04:29:17 UTC 2009,baseball,SimpleManJess,BaseballAmerica.com: Blog: Baseball America Prospects Blog ? Blog ...
2,2409,Tue Jun 02 04:29:28 UTC 2009,baseball,Oregon_Live,Portland city politics may undo baseball park
2,2411,Tue Jun 02 04:40:09 UTC 2009,safeway,csquaredx,dropped her broccoli walking home from safeway! ;( so depressed
2,2412,Tue Jun 02 04:41:05 UTC 2009,safeway,XPhile1908,we don't have Safeway.
4,2413,Tue Jun 02 04:41:13 UTC 2009,safeway,LaurenAmor,Just applied at Safeway!(: Yeeeee!
2,2415,Tue Jun 02 04:41:32 UTC 2009,safeway,Lovely_Lauren,at safeway with dad
2,2418,Tue Jun 02 04:42:29 UTC 2009,safeway,mobileadgirl,Safeway offering mobile coupons
2,2427,Tue Jun 02 06:53:32 UTC 2009,eating,elpasira,still hungry after eating....
2,2428,Tue Jun 02 06:53:45 UTC 2009,eating,Fitness_101,10 tips for healthy eating ? ResultsBy Fitness Blog :: Fitness ...
2,2503,Thu Jun 04 16:53:15 UTC 2009,nike,nsborg,"Nike SB Blazer High ""ACG"" Custom - Brad Douglas -"
2,2505,Thu Jun 04 16:53:48 UTC 2009,nike,imflashy,Nike Air Yeezy Khaki/Pink Colorway Release -
4,2506,Thu Jun 04 16:54:17 UTC 2009,nike,TheGlossMagazin,have you tried Nike  ? V. addictive.
0,2529,Sun Jun 07 01:12:38 UTC 2009,jquery,TobyJuanKenobi,argghhhh why won't  my jquery appear in safari bad safari !!!
2,2535,Sun Jun 07 01:14:41 UTC 2009,jquery,vmkobs,jquery Selectors
4,2538,Sun Jun 07 03:28:18 UTC 2009,warren buffet,PragCapitalist,"SUPER INVESTORS: A great weekend read here from Warren Buffet. Oldie, but a goodie."
2,2539,Sun Jun 07 03:28:26 UTC 2009,warren buffet,SmartMouthBroad,I'm truly braindead.  I couldn't come up with Warren Buffet's name to save my soul
4,2541,Sun Jun 07 17:42:50 UTC 2009,notre dame school,BobtheRobot,"I mean, I'm down with Notre Dame if I have to.  It's a good school, I'd be closer to Dan, I'd enjoy it."
0,2558,Mon Jun 08 19:59:10 UTC 2009,at&t,taylorcarrigan,"Although today's keynote rocked, for every great announcement, AT&amp;T shit on us just a little bit more."
2,2560,Mon Jun 08 20:01:17 UTC 2009,at&t,stick08,oh I see. I thought AT&amp;T were 900MHz WCDMA?
2,2561,Mon Jun 08 20:01:55 UTC 2009,at&t,CaptainCraigos,Where did you read about tethering support Phil?  Just AT&amp;T or will O2 be joining in?
0,2575,Tue Jun 09 03:58:11 UTC 2009,summize,auxesis,looks like summize has gone down. too many tweets from WWDC perhaps?
2,2577,Tue Jun 09 05:14:32 UTC 2009,kindle2,RogerSPress,Missed this insight-filled May column: One smart guy looking closely at why he's impressed with Kindle2
4,7015,Wed Jun 10 05:24:40 UTC 2009,google,popitlockit,"I have a google addiction. Thank you for pointing that out, . Hahaha."
0,13073,Sun Jun 14 04:35:33 UTC 2009,latex,NathanChalmers,Fighting with LaTex. Again...
2,13076,Sun Jun 14 21:35:58 UTC 2009,iran,musicmuse,How to Track Iran with Social Media:
2,14045,Sat Jun 13 16:13:59 UTC 2009,aapl,boardcentral,Twitter Stock buzz: $AAPL $ES_F $SPY $SPX $PALM  (updated: 12:00 PM)
4,14046,Sat Jun 13 16:23:41 UTC 2009,Bobby Flay,JimFacey,getting ready to test out some burger receipes this weekend. Bobby Flay has some great receipes to try. Thanks Bobby.
0,14069,Sun Jun 14 04:31:12 UTC 2009,latex,rooney_tunes,"I just created my first LaTeX file from scratch. That didn't work out very well. (See  , it's a great time waster)"
4,14071,Sun Jun 14 04:31:28 UTC 2009,latex,yomcat,"After using LaTeX a lot, any other typeset mathematics just looks hideous."
2,14072,Sun Jun 14 04:31:43 UTC 2009,latex,proggit,Ask Programming: LaTeX or InDesign?: submitted by calcio1 [link] [1 comment]
0,14073,Sun Jun 14 04:32:17 UTC 2009,latex,sam33r,"On that note, I hate Word. I hate Pages. I hate LaTeX. There, I said it. I hate LaTeX. All you TEXN3RDS can come kill me now."
4,14074,Sun Jun 14 04:36:34 UTC 2009,latex,iamtheonlyjosie,Ahhh... back in a *real* text editing environment. I &lt;3 LaTeX.
0,14075,Sun Jun 14 21:36:07 UTC 2009,iran,plutopup7,"Trouble in Iran, I see. Hmm. Iran. Iran so far away."
